2021-08-10 18:58:32   INFO [    TestsR:46  ] : browser was opened
2021-08-10 18:58:36   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:58:36   INFO [    TestsR:96  ] : Link was opened
2021-08-10 18:59:29   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 18:59:29   INFO [    TestsR:46  ] : browser was opened
2021-08-10 18:59:33   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:59:33   INFO [    TestsR:96  ] : Link was opened
2021-08-10 19:00:06   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 19:00:06   INFO [    TestsR:46  ] : browser was opened
2021-08-10 19:00:10   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 19:00:10   INFO [    TestsR:96  ] : Link was opened
2021-08-10 19:01:52   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 19:01:52   INFO [    TestsR:46  ] : browser was opened
2021-08-10 19:01:56   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 19:01:56   INFO [    TestsR:96  ] : Link was opened
2021-08-10 19:05:58   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 19:05:58   INFO [    TestsR:46  ] : browser was opened
2021-08-10 19:06:02   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 19:06:02   INFO [    TestsR:96  ] : Test input valid data started
2021-08-10 19:06:04   INFO [    TestsR:104 ] : data was inputted
2021-08-10 19:06:05   INFO [    TestsR:106 ] : Submit button was clicked
2021-08-10 19:23:13   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 19:23:14   INFO [    TestsR:46  ] : browser was opened
2021-08-10 19:23:17   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 19:23:17   INFO [    TestsR:75  ] : Link was opened
